0,1,2,3
ICN,R898,OH,R486
OH,R650,HO2,R15
OH,R650,HO2,R22
OH,R650,HO2,R44
OH,R650,HO2,R89
OH,R650,HO2,R90
OH,R650,HO2,R113
OH,R650,HO2,R204
OH,R650,HO2,R216
OH,R650,HO2,R401
OH,R650,HO2,R403
OH,R650,HO2,R445
OH,R650,HO2,R449
OH,R650,HO2,R453
OH,R650,HO2,R461
OH,R650,HO2,R468
OH,R650,HO2,R469
OH,R650,HO2,R474
OH,R650,HO2,R476
OH,R650,HO2,R488
OH,R650,HO2,R492
OH,R650,HO2,R497
OH,R650,HO2,R500
OH,R650,HO2,R507
OH,R650,HO2,R534
OH,R650,HO2,R535
OH,R650,HO2,R543
OH,R650,HO2,R546
OH,R650,HO2,R559
OH,R650,HO2,R562
OH,R650,HO2,R570
OH,R650,HO2,R573
OH,R650,HO2,R574
OH,R650,HO2,R581
OH,R650,HO2,R633
MPN,R850,MO2,R162
MPN,R850,NO2,R162
R88,R4N2,R796,HO2
R482,IDHNDOO1,R497,OH
MVKHP,R875,OH,R438
MVKHP,R875,HO2,R449
MVKHP,R875,HO2,R534
MVKHP,R875,HO2,R570
OH,R327,H2O,R191
HI,R327,I,R325
NO,R270,NO2,R209
NO,R270,NO2,R760
ClO,R270,Cl,R263
ClO,R270,Cl,R280
ClO,R270,Cl,R293
ClO,R270,Cl,R294
NO,R75,NO2,R209
NO,R75,NO2,R760
R14,HO2,R15,OH
R14,HO2,R22,OH
R14,HO2,R44,OH
R14,HO2,R89,OH
R14,HO2,R90,OH
R14,HO2,R113,O3
R14,HO2,R113,OH
R14,HO2,R204,OH
R14,HO2,R216,OH
R14,HO2,R401,OH
R14,HO2,R403,OH
R14,HO2,R445,OH
R14,HO2,R449,OH
R14,HO2,R453,OH
R14,HO2,R461,OH
R14,HO2,R468,OH
R14,HO2,R469,OH
R14,HO2,R474,OH
R14,HO2,R476,OH
R14,HO2,R488,OH
R14,HO2,R492,OH
R14,HO2,R497,OH
R14,HO2,R500,OH
R14,HO2,R507,OH
R14,HO2,R534,OH
R14,HO2,R535,OH
R14,HO2,R543,OH
R14,HO2,R546,OH
R14,HO2,R559,OH
R14,HO2,R562,OH
R14,HO2,R570,OH
R14,HO2,R573,OH
R14,HO2,R574,O3
R14,HO2,R574,OH
R14,HO2,R581,O3
R14,HO2,R581,OH
R14,HO2,R633,O3
R14,HO2,R633,OH
R17,HO2,R113,O3
R17,HO2,R574,MO2
R17,HO2,R574,O3
R17,HO2,R581,O3
R17,HO2,R633,O3
R21,HO2,R15,OH
R21,HO2,R22,OH
R21,HO2,R23,H2O2
R21,HO2,R44,OH
R21,HO2,R89,OH
R21,HO2,R90,OH
R21,HO2,R113,OH
R21,HO2,R204,OH
R21,HO2,R216,OH
R21,HO2,R401,OH
R21,HO2,R403,OH
R21,HO2,R445,OH
R21,HO2,R449,OH
R21,HO2,R453,OH
R21,HO2,R461,OH
R21,HO2,R468,OH
R21,HO2,R469,OH
R21,HO2,R474,OH
R21,HO2,R476,OH
R21,HO2,R488,OH
R21,HO2,R492,OH
R21,HO2,R497,OH
R21,HO2,R500,OH
R21,HO2,R507,OH
R21,HO2,R534,OH
R21,HO2,R535,OH
R21,HO2,R543,OH
R21,HO2,R546,OH
R21,HO2,R559,OH
R21,HO2,R562,OH
R21,HO2,R570,OH
R21,HO2,R573,OH
R21,HO2,R574,OH
R21,HO2,R581,OH
R21,HO2,R633,OH
R24,HO2,R15,OH
R24,HO2,R22,OH
R24,HO2,R44,OH
R24,HO2,R89,OH
R24,HO2,R90,OH
R24,HO2,R113,OH
R24,HO2,R204,OH
R24,HO2,R216,OH
R24,HO2,R401,OH
R24,HO2,R403,OH
R24,HO2,R445,OH
R24,HO2,R449,OH
R24,HO2,R453,OH
R24,HO2,R461,CO
R24,HO2,R461,OH
R24,HO2,R468,CO
R24,HO2,R468,OH
R24,HO2,R469,CO
R24,HO2,R469,OH
R24,HO2,R474,OH
R24,HO2,R476,OH
R24,HO2,R488,OH
R24,HO2,R492,OH
R24,HO2,R497,OH
R24,HO2,R500,OH
R24,HO2,R507,OH
R24,HO2,R534,OH
R24,HO2,R535,OH
R24,HO2,R543,CO
R24,HO2,R543,OH
R24,HO2,R546,OH
R24,HO2,R559,OH
R24,HO2,R562,OH
R24,HO2,R570,OH
R24,HO2,R573,CO
R24,HO2,R573,OH
R24,HO2,R574,CO
R24,HO2,R574,OH
R24,HO2,R581,OH
R24,HO2,R633,OH
R26,HO2,R574,MO2
R30,HO2,R574,MO2
R31,HO2,R15,OH
R31,HO2,R22,OH
R31,HO2,R44,OH
R31,HO2,R89,OH
R31,HO2,R90,OH
R31,HO2,R113,OH
R31,HO2,R204,OH
R31,HO2,R216,OH
R31,HO2,R401,OH
R31,HO2,R403,OH
R31,HO2,R445,OH
R31,HO2,R449,OH
R31,HO2,R453,OH
R31,HO2,R461,OH
R31,HO2,R468,OH
R31,HO2,R469,OH
R31,HO2,R474,OH
R31,HO2,R476,OH
R31,HO2,R488,OH
R31,HO2,R492,OH
R31,HO2,R497,OH
R31,HO2,R500,OH
R31,HO2,R507,OH
R31,HO2,R534,OH
R31,HO2,R535,OH
R31,HO2,R543,OH
R31,HO2,R546,OH
R31,HO2,R559,OH
R31,HO2,R562,OH
R31,HO2,R570,OH
R31,HO2,R573,OH
R31,HO2,R574,MO2
R31,HO2,R574,OH
R31,HO2,R581,OH
R31,HO2,R633,OH
R36,HO2,R15,OH
R36,HO2,R22,OH
R36,HO2,R44,OH
R36,HO2,R89,CH2O
R36,HO2,R89,OH
R36,HO2,R90,OH
R36,HO2,R113,OH
R36,HO2,R204,OH
R36,HO2,R216,OH
R36,HO2,R401,CH2O
R36,HO2,R401,OH
R36,HO2,R403,CH2O
R36,HO2,R403,OH
