species index (starts from 1),from,to,stoichiometric value 
263,R147,MO2,1.000000
281,R147,HO2,1.000000
251,R4N1,R148,1.000000
252,R148,R4O2,0.300000
255,R148,RCHO,0.570000
257,MCO3,R148,1.000000
261,R148,ALD2,0.750000
262,R148,CH2O,0.390000
263,R148,MO2,1.000000
270,R148,NO2,1.000000
197,PRN1,R149,1.000000
257,MCO3,R149,1.000000
261,R149,ALD2,1.000000
262,R149,CH2O,1.000000
263,R149,MO2,1.000000
270,R149,NO2,1.000000
215,R150,ACTA,1.000000
222,R150,MEK,1.000000
252,R4O2,R150,1.000000
257,MCO3,R150,1.000000
215,R151,ACTA,1.000000
228,R151,MGLY,1.000000
248,ATO2,R151,1.000000
257,MCO3,R151,1.000000
215,R152,ACTA,1.000000
222,R152,MEK,1.000000
249,KO2,R152,1.000000
257,MCO3,R152,1.000000
215,R153,ACTA,1.000000
251,R4N1,R153,1.000000
255,R153,RCHO,1.000000
257,MCO3,R153,1.000000
270,R153,NO2,1.000000
197,PRN1,R154,1.000000
215,R154,ACTA,1.000000
255,R154,RCHO,1.000000
257,MCO3,R154,1.000000
270,R154,NO2,1.000000
215,R155,ACTA,1.000000
219,R155,ACET,1.000000
253,B3O2,R155,1.000000
257,MCO3,R155,1.000000
213,ETO2,R156,1.000000
257,MCO3,R156,1.000000
261,R156,ALD2,1.000000
263,R156,MO2,1.000000
281,R156,HO2,1.000000
235,OTHRO2,R157,1.000000
257,MCO3,R157,1.000000
261,R157,ALD2,1.000000
263,R157,MO2,1.000000
281,R157,HO2,1.000000
213,ETO2,R158,1.000000
215,R158,ACTA,1.000000
257,MCO3,R158,1.000000
261,R158,ALD2,1.000000
215,R159,ACTA,1.000000
235,OTHRO2,R159,1.000000
257,MCO3,R159,1.000000
261,R159,ALD2,1.000000
233,R160,A3O2,0.070000
235,R160,OTHRO2,0.500000
250,RCO3,R160,1.000000
253,R160,B3O2,0.270000
257,MCO3,R160,1.000000
263,R160,MO2,1.000000
270,R161,NO2,2.000000
283,NO3,R161,2.000000
71,R162,MPN,1.000000
263,MO2,R162,1.000000
270,NO2,R162,1.000000
71,MPN,R163,1.000000
263,R163,MO2,1.000000
270,R163,NO2,1.000000
82,DMS,R164,1.000000
262,R164,CH2O,1.000000
263,R164,MO2,1.000000
279,OH,R164,1.000000
286,R164,SO2,1.000000
27,R165,MSA,0.250000
82,DMS,R165,1.000000
263,R165,MO2,1.000000
279,OH,R165,1.000000
286,R165,SO2,0.750000
82,DMS,R166,1.000000
260,R166,HNO3,1.000000
